CustomerID,Recency,Frequency,Monetary,AOV,Cluster_ID,Cluster_Tier,R_Score,F_Score,M_Score,RFM_Composite,Business_Segment,Recommended_Action
12411,135,1,17.51,17.51,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12413,90,2,46.89,23.44,1,Cluster_1,2,2,3,223,Hibernating,Low-cost email engagement test; purge if no response in 60d
12414,224,1,4.28,4.28,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12415,10,42,691.86,16.47,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12416,48,7,140.0,20.0,0,Cluster_3,3,4,5,345,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12419,26,5,55.68,11.14,0,Cluster_3,4,4,3,443,Champions,"VIP concierge access, early product drops, loyalty rewards"
12420,32,1,29.38,29.38,1,Cluster_1,4,1,2,412,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12421,107,1,20.76,20.76,1,Cluster_1,2,1,2,212,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12422,124,3,62.17,20.72,0,Cluster_3,2,3,3,233,Hibernating,Low-cost email engagement test; purge if no response in 60d
12424,2,2,49.7,24.85,2,Cluster_2,5,2,3,523,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12426,1,10,159.57,15.96,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12428,138,1,26.45,26.45,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12431,85,1,14.76,14.76,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12432,111,2,26.52,13.26,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12433,82,2,31.69,15.84,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12434,32,8,147.09,18.39,0,Cluster_3,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12435,256,1,27.93,27.93,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12436,47,1,11.52,11.52,1,Cluster_1,3,1,1,311,Needs Attention,Personalized re-activation email with product recommendations
12438,30,6,122.47,20.41,0,Cluster_3,4,4,4,444,Champions,"VIP concierge access, early product drops, loyalty rewards"
12439,81,2,20.75,10.38,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12440,51,7,117.28,16.75,0,Cluster_3,3,4,4,344,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12441,231,1,8.43,8.43,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12447,93,1,15.99,15.99,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12448,180,2,52.88,26.44,1,Cluster_1,1,2,3,123,Hibernating,Low-cost email engagement test; purge if no response in 60d
12449,55,3,38.23,12.74,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12450,19,5,42.69,8.54,0,Cluster_3,4,4,3,443,Champions,"VIP concierge access, early product drops, loyalty rewards"
12451,67,2,40.86,20.43,1,Cluster_1,2,2,3,223,Hibernating,Low-cost email engagement test; purge if no response in 60d
12452,141,1,5.39,5.39,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12453,13,6,101.29,16.88,0,Cluster_3,5,4,4,544,Champions,"VIP concierge access, early product drops, loyalty rewards"
12456,31,2,63.42,31.71,0,Cluster_3,4,2,4,424,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12458,2,10,185.34,18.53,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12459,2,6,86.28,14.38,2,Cluster_2,5,4,4,544,Champions,"VIP concierge access, early product drops, loyalty rewards"
12460,121,1,15.26,15.26,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12461,50,7,188.64,26.95,0,Cluster_3,3,4,5,345,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12462,16,7,107.42,15.35,0,Cluster_3,4,4,4,444,Champions,"VIP concierge access, early product drops, loyalty rewards"
12464,11,5,61.96,12.39,2,Cluster_2,5,4,3,543,Champions,"VIP concierge access, early product drops, loyalty rewards"
12465,69,1,8.99,8.99,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12466,79,5,68.26,13.65,0,Cluster_3,2,4,4,244,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12467,55,10,182.88,18.29,0,Cluster_3,3,5,5,355,Mid-Market Regulars,"Standard promo calendar, threshold-based free shipping"
12468,140,1,26.24,26.24,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12469,251,1,1.57,1.57,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12471,24,1,18.45,18.45,2,Cluster_2,4,1,2,412,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12472,52,7,120.79,17.26,0,Cluster_3,3,4,4,344,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12473,27,4,88.03,22.01,0,Cluster_3,4,3,4,434,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12475,38,2,48.37,24.18,0,Cluster_3,3,2,3,323,Needs Attention,Personalized re-activation email with product recommendations
12476,158,1,30.79,30.79,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12477,38,2,45.29,22.64,0,Cluster_3,3,2,3,323,Needs Attention,Personalized re-activation email with product recommendations
12480,54,13,202.96,15.61,0,Cluster_3,3,5,5,355,Mid-Market Regulars,"Standard promo calendar, threshold-based free shipping"
12482,9,1,4.36,4.36,2,Cluster_2,5,1,1,511,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12483,105,3,16.82,5.61,1,Cluster_1,2,3,1,231,Hibernating,Low-cost email engagement test; purge if no response in 60d
12485,14,31,513.58,16.57,3,Cluster_4,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12486,2,22,394.05,17.91,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12488,114,1,3.28,3.28,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12490,68,1,13.26,13.26,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12492,87,1,40.97,40.97,1,Cluster_1,2,1,3,213,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12495,203,1,9.88,9.88,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12496,54,14,247.06,17.65,0,Cluster_3,3,5,5,355,Mid-Market Regulars,"Standard promo calendar, threshold-based free shipping"
12499,72,1,43.56,43.56,1,Cluster_1,2,1,3,213,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12500,15,42,668.96,15.93,3,Cluster_4,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12502,40,3,31.96,10.65,0,Cluster_3,3,3,2,332,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12503,12,7,152.09,21.73,0,Cluster_3,5,4,5,545,Champions,"VIP concierge access, early product drops, loyalty rewards"
12504,169,2,65.49,32.74,1,Cluster_1,1,2,4,124,Hibernating,Low-cost email engagement test; purge if no response in 60d
12505,108,2,63.55,31.78,1,Cluster_1,2,2,4,224,Hibernating,Low-cost email engagement test; purge if no response in 60d
12507,191,2,30.61,15.3,1,Cluster_1,1,2,2,122,Hibernating,Low-cost email engagement test; purge if no response in 60d
12508,33,1,7.01,7.01,1,Cluster_1,3,1,1,311,Needs Attention,Personalized re-activation email with product recommendations
12509,52,2,44.08,22.04,1,Cluster_1,3,2,3,323,Needs Attention,Personalized re-activation email with product recommendations
12511,108,4,29.1,7.28,1,Cluster_1,2,3,2,232,Hibernating,Low-cost email engagement test; purge if no response in 60d
12515,178,3,46.34,15.45,1,Cluster_1,1,3,3,133,Hibernating,Low-cost email engagement test; purge if no response in 60d
12516,138,2,10.53,5.26,1,Cluster_1,1,2,1,121,Hibernating,Low-cost email engagement test; purge if no response in 60d
12518,88,2,49.2,24.6,1,Cluster_1,2,2,3,223,Hibernating,Low-cost email engagement test; purge if no response in 60d
12520,217,2,55.69,27.84,1,Cluster_1,1,2,3,123,Hibernating,Low-cost email engagement test; purge if no response in 60d
12522,7,1,10.38,10.38,2,Cluster_2,5,1,1,511,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12523,5,2,6.44,3.22,2,Cluster_2,5,2,1,521,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12524,24,13,131.47,10.11,0,Cluster_3,4,5,4,454,Champions,"VIP concierge access, early product drops, loyalty rewards"
12528,5,5,163.34,32.67,2,Cluster_2,5,4,5,545,Champions,"VIP concierge access, early product drops, loyalty rewards"
12529,76,8,134.54,16.82,0,Cluster_3,2,5,4,254,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12531,47,5,84.37,16.87,0,Cluster_3,3,4,4,344,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12532,27,5,72.91,14.58,0,Cluster_3,4,4,4,444,Champions,"VIP concierge access, early product drops, loyalty rewards"
12533,29,2,25.61,12.8,2,Cluster_2,4,2,2,422,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12534,98,1,20.85,20.85,1,Cluster_1,2,1,2,212,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12537,14,9,187.26,20.81,0,Cluster_3,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12538,25,10,160.99,16.1,0,Cluster_3,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12541,239,2,20.05,10.02,1,Cluster_1,1,2,2,122,Hibernating,Low-cost email engagement test; purge if no response in 60d
12543,13,7,86.4,12.34,0,Cluster_3,5,4,4,544,Champions,"VIP concierge access, early product drops, loyalty rewards"
12544,37,8,71.35,8.92,0,Cluster_3,3,5,4,354,Mid-Market Regulars,"Standard promo calendar, threshold-based free shipping"
12545,70,3,60.64,20.21,0,Cluster_3,2,3,3,233,Hibernating,Low-cost email engagement test; purge if no response in 60d
12546,5,4,45.96,11.49,2,Cluster_2,5,3,3,533,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12549,13,8,162.81,20.35,0,Cluster_3,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12550,9,2,14.97,7.48,2,Cluster_2,5,2,1,521,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12553,18,3,38.77,12.92,2,Cluster_2,4,3,3,433,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12556,174,1,1.94,1.94,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12557,1,3,93.96,31.32,2,Cluster_2,5,3,4,534,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12558,33,3,56.65,18.88,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12560,112,2,60.93,30.46,1,Cluster_1,2,2,3,223,Hibernating,Low-cost email engagement test; purge if no response in 60d
12561,76,2,29.14,14.57,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12562,126,3,57.27,19.09,1,Cluster_1,2,3,3,233,Hibernating,Low-cost email engagement test; purge if no response in 60d
12563,83,3,65.93,21.98,0,Cluster_3,2,3,4,234,Hibernating,Low-cost email engagement test; purge if no response in 60d
12564,23,1,29.17,29.17,2,Cluster_2,4,1,2,412,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12565,32,5,113.95,22.79,0,Cluster_3,4,4,4,444,Champions,"VIP concierge access, early product drops, loyalty rewards"
12566,57,3,60.1,20.03,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12567,121,2,27.95,13.98,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12569,77,1,21.68,21.68,1,Cluster_1,2,1,2,212,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12570,217,1,12.13,12.13,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12571,235,1,6.72,6.72,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12572,2,28,485.31,17.33,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12573,283,1,25.5,25.5,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12574,81,7,85.18,12.17,0,Cluster_3,2,4,4,244,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12575,241,1,11.22,11.22,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12576,21,9,146.15,16.24,0,Cluster_3,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12577,16,1,44.01,44.01,2,Cluster_2,4,1,3,413,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12578,46,2,18.43,9.22,1,Cluster_1,3,2,2,322,Needs Attention,Personalized re-activation email with product recommendations
12579,54,2,27.02,13.51,1,Cluster_1,3,2,2,322,Needs Attention,Personalized re-activation email with product recommendations
12581,99,4,63.84,15.96,0,Cluster_3,2,3,4,234,Hibernating,Low-cost email engagement test; purge if no response in 60d
12582,48,1,6.56,6.56,1,Cluster_1,3,1,1,311,Needs Attention,Personalized re-activation email with product recommendations
12584,94,1,3.8,3.8,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12586,13,19,287.66,15.14,3,Cluster_4,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12587,20,16,260.44,16.28,3,Cluster_4,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12588,7,22,306.94,13.95,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12589,9,1,18.2,18.2,2,Cluster_2,5,1,2,512,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12591,73,14,215.11,15.36,0,Cluster_3,2,5,5,255,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12592,89,2,24.97,12.48,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12593,5,22,399.77,18.17,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12594,10,18,297.66,16.54,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12595,79,4,103.02,25.76,0,Cluster_3,2,3,4,234,Hibernating,Low-cost email engagement test; purge if no response in 60d
12596,160,1,6.0,6.0,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12598,74,6,64.45,10.74,0,Cluster_3,2,4,4,244,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12601,65,2,52.29,26.15,1,Cluster_1,3,2,3,323,Needs Attention,Personalized re-activation email with product recommendations
12602,44,15,185.17,12.34,0,Cluster_3,3,5,5,355,Mid-Market Regulars,"Standard promo calendar, threshold-based free shipping"
12603,52,4,74.68,18.67,0,Cluster_3,3,3,4,334,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12604,28,3,38.6,12.87,0,Cluster_3,4,3,3,433,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12606,146,1,4.0,4.0,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12607,7,63,1072.95,17.03,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12608,239,1,6.48,6.48,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12609,190,1,5.76,5.76,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12610,76,11,245.29,22.3,0,Cluster_3,2,5,5,255,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12611,32,4,29.88,7.47,0,Cluster_3,4,3,2,432,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12612,62,4,44.06,11.02,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12613,49,4,125.53,31.38,0,Cluster_3,3,3,4,334,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12614,99,1,2.49,2.49,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12616,7,3,74.17,24.72,2,Cluster_2,5,3,4,534,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12617,18,4,46.4,11.6,2,Cluster_2,4,4,3,443,Champions,"VIP concierge access, early product drops, loyalty rewards"
12618,105,4,45.04,11.26,0,Cluster_3,2,4,3,243,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12619,30,10,178.66,17.87,0,Cluster_3,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12620,209,1,4.52,4.52,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12621,164,1,23.82,23.82,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12622,23,3,64.88,21.63,0,Cluster_3,4,3,4,434,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12624,43,5,103.9,20.78,0,Cluster_3,3,4,4,344,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12625,46,4,98.0,24.5,0,Cluster_3,3,4,4,344,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12626,39,5,55.06,11.01,0,Cluster_3,3,4,3,343,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12627,41,2,31.82,15.91,1,Cluster_1,3,2,2,322,Needs Attention,Personalized re-activation email with product recommendations
12628,59,3,27.1,9.03,1,Cluster_1,3,3,2,332,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12630,108,1,35.62,35.62,1,Cluster_1,2,1,2,212,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12632,233,1,24.14,24.14,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12633,118,2,50.61,25.3,1,Cluster_1,2,2,3,223,Hibernating,Low-cost email engagement test; purge if no response in 60d
12635,23,4,61.9,15.48,0,Cluster_3,4,4,3,443,Champions,"VIP concierge access, early product drops, loyalty rewards"
12636,10,1,30.99,30.99,2,Cluster_2,5,1,2,512,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12638,29,3,83.15,27.72,0,Cluster_3,4,3,4,434,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12639,127,2,15.29,7.64,1,Cluster_1,2,2,1,221,Hibernating,Low-cost email engagement test; purge if no response in 60d
12641,34,1,18.9,18.9,1,Cluster_1,3,1,2,312,Needs Attention,Personalized re-activation email with product recommendations
12642,69,2,63.45,31.72,0,Cluster_3,2,2,4,224,Hibernating,Low-cost email engagement test; purge if no response in 60d
12643,171,1,4.39,4.39,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12644,70,2,20.84,10.42,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12647,60,4,60.75,15.19,0,Cluster_3,3,4,3,343,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12648,139,5,67.65,13.53,0,Cluster_3,1,4,4,144,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12649,63,3,73.89,24.63,0,Cluster_3,3,3,4,334,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12650,29,7,162.98,23.28,0,Cluster_3,4,4,5,445,Champions,"VIP concierge access, early product drops, loyalty rewards"
12651,1,27,554.29,20.53,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12652,134,1,3.24,3.24,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12653,26,4,52.85,13.21,0,Cluster_3,4,4,3,443,Champions,"VIP concierge access, early product drops, loyalty rewards"
12654,28,5,50.47,10.09,0,Cluster_3,4,4,3,443,Champions,"VIP concierge access, early product drops, loyalty rewards"
12655,135,1,12.4,12.4,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12656,5,3,78.87,26.29,2,Cluster_2,5,3,4,534,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12659,10,17,244.75,14.4,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12660,14,5,68.96,13.79,0,Cluster_3,4,4,4,444,Champions,"VIP concierge access, early product drops, loyalty rewards"
12661,190,1,25.0,25.0,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12662,106,2,39.66,19.83,1,Cluster_1,2,2,3,223,Hibernating,Low-cost email engagement test; purge if no response in 60d
12663,3,1,9.47,9.47,2,Cluster_2,5,1,1,511,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12666,101,1,7.0,7.0,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12667,42,1,11.14,11.14,1,Cluster_1,3,1,1,311,Needs Attention,Personalized re-activation email with product recommendations
12668,146,2,21.03,10.51,1,Cluster_1,1,2,2,122,Hibernating,Low-cost email engagement test; purge if no response in 60d
12670,34,15,291.16,19.41,3,Cluster_4,3,5,5,355,Mid-Market Regulars,"Standard promo calendar, threshold-based free shipping"
12671,90,4,76.8,19.2,0,Cluster_3,2,4,4,244,At Risk (High Value),"Direct retention outreach, aggressive win-back discount"
12672,139,2,18.07,9.04,1,Cluster_1,1,2,1,121,Hibernating,Low-cost email engagement test; purge if no response in 60d
12673,238,1,22.18,22.18,1,Cluster_1,1,1,2,112,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12674,140,2,14.1,7.05,1,Cluster_1,1,2,1,121,Hibernating,Low-cost email engagement test; purge if no response in 60d
12677,122,3,35.68,11.89,1,Cluster_1,2,3,2,232,Hibernating,Low-cost email engagement test; purge if no response in 60d
